comments,status,rating
'Super ️️ waiting for upcoming bharanam’,positive,4
"'India maharajyathil keralam mathram alla, bt ithrem kattumudipikana vere oru nethakanmar indavilla’",negative,2
Make in Kerala,positive,3
Hats off Hibi Eden for promoting menstrual cup throughout the State.,positive,4
Parasyathiny aano 10 crores,negative,1
ഇമ്മാതിരി കിഴങ്ങ് മന്ത്രി,negative,1
Cyber security oke enthinanu cheyunathu ?,neutral,0
Sarkkaar Udyogastharude Salariyude 20% Coupons aayi nalkuka.,neutral,0
Kerala budget will be beneficial for Bengali youth because malayali youths don't want to stay in Kerala.,positive,5
ldf vanu ellam sheriyay,positive,2
ലോകത്തു ഇത്രയും തല്ലിപ്പൊളി ഒരു സര്ക്കാര് ഉണ്ടായിട്ടില്ല,negative,0
Kerala should be made a hub of Vazhakkula Doctorate.,negative,1
India may be utilised by the help of Adani for our future lives and namaste to all of us and to Sri Adani.,negative,2
K budget adipoli,positive,5
During election people of kerala saw your performance.,positive,4
State funds totally mismanaged and misused by government.,negative,2
Central budget nalla budget anu moyanth anchore....,positive,4
GST നല്ലത് തന്നെയാണ്,positive,5
"Petrol, Diesel ses yethra Kodi kittum?",negative,4
K rail ne budgetil. Paisa ellathath ath pinari de mathram alley K Rail.athu kond,negative,2
Congress kendratel bharichal keralatel aendhuva kittiyathu.,negative,4
Now our sarkkar ipphol chayenddathu First two year pention stop chaeyanum.,negative,0
Eyalekkal mosham finance minister undaakilla ...,negative,2
Pravasighal illenghil keralathinte nilanilpu Apaghadathil,negative,4
ഇത് ബജറ്റ് ആണോ ദാരിദ്യം പറച്ചിലോ,neutral,2
baki ullath enthenkilum ini nashippikkan undenkil athinu kurach time mathre ini avishyam ullu...,neutral,3
Keralathil ipo party kaar mathram happy..,neutral,4
Valarunnath partykaar thalarunnath paavappettavarum,negative,1
Lokasmathanathin. വല്ലതും. Neekkikkno,positive,1
Vote cheyumbol orkanamayirunnu,positive,0
Everything increasing except salary,positive,0
Ldf inte kotta kal thakaratte,negative,5
"still we will vote CPM only, and say coz of Central government",positive,2
even the news reporter is not telling him its not coz of modi state government has increased,neutral,0
best sarkar,positive,1
ingana poyal keralam mudiyum..,negative,2
sarkar vanu ellam sheriyayi,positive,5
even the news reporter is not telling him its not coz of modi state government has increased,neutral,4
എത്രയൊക്കെ വില കൂട്ടിയാലും നാണമില്ലാതെ വോട്ട് ചെയ്യാൻ Q നിക്കുന്ന ജനങ്ങൾ,negative,2
ഗുണ്ടകൾ ഭരിച്ചാൽ ഇങ്ങനെ ഇരിക്കും..ഒരു govt നും തുടർ ഭരണം കൊടുക്കരുത് എന്നു പറഞ്ഞത് ഇപ്പോൾ മനസിലായോ,negative,4
"At present in Karnataka 8 rupees cheaper than Kerala, next it will be 10 rupees cheaper",neutral,4
ഇലക്ഷൻ വരുമ്പോ ഒരു കിറ്റ് അങ്ങ് തരും അതും വേടിച് നക്കി മിണ്ടാതിരുന്നോണം... ഇല്ലേൽ വായ അടപ്പിക്കാൻ ഞങ്ങൾക്കറിയാം,positive,2
നികുതിയല്ല കൊള്ളയാണ് ഇത്,negative,3
Kerala model..adipoli,negative,4
Central govt istam,positive,1
Gud luck government,positive,1
Petrol pump owners happy ayyi,positive,0
kit nakkiyathu allae enjoy guys,positive,0
kit nakkiyathu allae enjoy guys,positive,5
Central govt kootumbo valiya kadhayum Paranj varana teams evde anavo,negative,2
Pension amount thirich medik,neutral,0
Super,positive,1
Petrol okke avshyathinj koodthal kitunindd,positive,2
Edutha loan petrol nikuthi kooti thirichadakkanu sastranjan paranjath nadappilakkunnu..anubavicho ellarum,negative,5
Vila koottunnathu angeekarikkumbol,negative,4
Ev is the only solution.,neutral,2
Vote cheithalle,positive,4
Koottiyath sagakkanmar aayath kond samsthanath karyamaaya aakramanamo samaramo onnum undakilla.,positive,5
Petrol kittum Annu paranjirunnu,positive,4
Namle Mahe,positive,2
Gst kondu varanam,positive,4
LDF വന്നു എലാം ശെരി ആക്കി തരും,positive,0
Kovalan polichu,positive,2
Kendravum keralavum janangale pizhiyunnnu,negative,4
I am from Rajasthan. It&#39;s true that adani is monstrous for our economy.,positive,2
"SBI,, &amp;LzzIC dznnk Sharepuchsced mofi order",neutral,3
Lic&amp;SBI3yumvihnkiytumohiji,negative,4
/28Lrkuveenupoyo,positive,1
Nishspurushothamsney cheethparayunna monkeykal NishaennanewsReporterSnowyilNinnuReprtcheyunnathukattuNjanJokeNisheyNjakalmsrasttiyekonnuTinnattannumagoaSopuyyunnathu🌹,negative,1
